host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_type,minimum_nights_range,number_of_reviews_range,reviews_per_month_range,calculated_host_listings_range,availability_365_range,last_review_year,last_review_month
17985,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249,Medium,7 to 9,0 to 25,No Review,Less than 2,200 to 300,No Review,No Review
21207,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0,High,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2011.0,12.0
22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09,6,347,Medium,Less than 3,100+,Less than 3,5 to 10,300+,2019.0,1.0
22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,Low,Less than 3,26 to 50,Less than 3,5 to 10,300+,2019.0,1.0
22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,6,304,Medium,Less than 3,51 to 75,Less than 3,5 to 10,300+,2019.0,2.0
25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233,Medium,Less than 3,76 to 100,Less than 3,Less than 2,200 to 300,2019.0,6.0
25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,Low,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2019.0,6.0
26394,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,0.0,1,0,Low,4 to 6,0 to 25,No Review,Less than 2,Less than 100,No Review,No Review
30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,Medium,10+,51 to 75,Less than 3,Less than 2,Less than 100,2017.0,8.0
31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311,Low,Less than 3,100+,Less than 3,2 to 5,300+,2019.0,6.0
21904,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,1,67,Medium,10+,26 to 50,Less than 3,Less than 2,Less than 100,2019.0,4.0
32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255,Low,Less than 3,76 to 100,Less than 3,Less than 2,200 to 300,2019.0,6.0
35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269,Low,Less than 3,51 to 75,Less than 3,Less than 2,200 to 300,2019.0,12.0
9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41,3,340,Low,4 to 6,100+,Less than 3,2 to 5,300+,2019.0,6.0
7355,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,0.0,1,365,Low,10+,0 to 25,No Review,Less than 2,300+,No Review,No Review
45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365,Medium,Less than 3,0 to 25,No Review,Less than 2,300+,No Review,No Review
47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,Medium,Less than 3,0 to 25,Less than 3,Less than 2,300+,2019.0,5.0
47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,Medium,7 to 9,0 to 25,Less than 3,Less than 2,300+,2018.0,9.0
16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273,Medium,4 to 6,76 to 100,Less than 3,Less than 2,200 to 300,2019.0,6.0
47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,1,309,Medium,7 to 9,76 to 100,Less than 3,Less than 2,300+,2019.0,6.0
49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,1,95,Medium,10+,0 to 25,Less than 3,Less than 2,Less than 100,2019.0,5.0
50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265,Medium,7 to 9,51 to 75,Less than 3,Less than 2,200 to 300,2019.0,5.0
50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,Medium,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2017.0,1.0
52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,Low,Less than 3,100+,Less than 3,Less than 2,100 to 200,2019.0,6.0
54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,Low,Less than 3,100+,Less than 3,2 to 5,200 to 300,2019.0,6.0
56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302,Medium,Less than 3,51 to 75,Less than 3,Less than 2,300+,2019.0,7.0
56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,High,Less than 3,76 to 100,Less than 3,Less than 2,100 to 200,2019.0,5.0
56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,Medium,7 to 9,0 to 25,Less than 3,Less than 2,200 to 300,2019.0,3.0
56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,Medium,10+,100+,Less than 3,Less than 2,Less than 100,2019.0,6.0
59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,Medium,4 to 6,0 to 25,Less than 3,Less than 2,300+,2019.0,5.0
32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,Low,4 to 6,100+,Less than 3,2 to 5,300+,2019.0,4.0
60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,Medium,10+,0 to 25,Less than 3,Less than 2,100 to 200,2019.0,6.0
60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,Low,Less than 3,26 to 50,Less than 3,Less than 2,200 to 300,2019.0,6.0
61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,High,Less than 3,51 to 75,Less than 3,Less than 2,200 to 300,2019.0,3.0
63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,Medium,10+,100+,Less than 3,Less than 2,200 to 300,2019.0,1.0
63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292,Low,7 to 9,26 to 50,Less than 3,Less than 2,200 to 300,2017.0,9.0
64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,High,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2017.0,9.0
64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362,High,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,Low,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,High,7 to 9,26 to 50,Less than 3,Less than 2,100 to 200,2018.0,5.0
66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,Low,7 to 9,0 to 25,Less than 3,Less than 2,Less than 100,2019.0,1.0
68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,Low,Less than 3,26 to 50,Less than 3,Less than 2,300+,2019.0,6.0
68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,Medium,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,Medium,4 to 6,0 to 25,Less than 3,Less than 2,200 to 300,2019.0,2.0
69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,Medium,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,Low,10+,0 to 25,Less than 3,Less than 2,300+,2019.0,5.0
71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,Low,Less than 3,100+,Less than 3,Less than 2,100 to 200,2019.0,6.0
71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,Medium,Less than 3,100+,Less than 3,Less than 2,200 to 300,2019.0,5.0
72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,Medium,Less than 3,51 to 75,Less than 3,2 to 5,200 to 300,2019.0,4.0
73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,Medium,10+,51 to 75,Less than 3,Less than 2,200 to 300,2019.0,3.0
73128,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328,High,4 to 6,51 to 75,Less than 3,Less than 2,300+,2019.0,6.0
73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,Medium,4 to 6,0 to 25,Less than 3,Less than 2,Less than 100,2019.0,6.0
44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,1,188,Low,10+,76 to 100,Less than 3,Less than 2,100 to 200,2019.0,8.0
74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,Medium,Less than 3,51 to 75,Less than 3,Less than 2,200 to 300,2018.0,9.0
76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,Low,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2016.0,2.0
72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,Low,Less than 3,100+,Less than 3,2 to 5,200 to 300,2019.0,6.0
961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,Low,4 to 6,0 to 25,Less than 3,Less than 2,300+,2019.0,5.0
78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,Medium,4 to 6,100+,4 to 6,Less than 2,200 to 300,2019.0,6.0
51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,6,185,Low,7 to 9,0 to 25,Less than 3,5 to 10,100 to 200,2019.0,5.0
79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,High,7 to 9,0 to 25,Less than 3,Less than 2,100 to 200,2019.0,5.0
79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,Low,4 to 6,100+,Less than 3,Less than 2,Less than 100,2018.0,7.0
44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,Medium,Less than 3,100+,Less than 3,Less than 2,Less than 100,2019.0,6.0
42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,Medium,Less than 3,76 to 100,Less than 3,Less than 2,100 to 200,2019.0,7.0
82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,Low,Less than 3,0 to 25,Less than 3,Less than 2,300+,2018.0,9.0
83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,Low,10+,26 to 50,Less than 3,Less than 2,300+,2019.0,1.0
87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311,Medium,7 to 9,100+,Less than 3,Less than 2,300+,2018.0,10.0
32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,Low,Less than 3,0 to 25,Less than 3,2 to 5,200 to 300,2019.0,3.0
63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,Low,Less than 3,51 to 75,Less than 3,Less than 2,300+,2012.0,1.0
93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243,High,4 to 6,26 to 50,Less than 3,Less than 2,200 to 300,2019.0,5.0
97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,High,10+,76 to 100,Less than 3,Less than 2,Less than 100,2018.0,2.0
105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,Low,10+,26 to 50,Less than 3,Less than 2,200 to 300,2018.0,5.0
107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,Low,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,Medium,10+,0 to 25,Less than 3,Less than 2,200 to 300,2017.0,3.0
51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,Medium,Less than 3,0 to 25,Less than 3,5 to 10,200 to 300,2019.0,2.0
112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,Medium,7 to 9,0 to 25,Less than 3,Less than 2,100 to 200,2017.0,11.0
72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,4,298,High,Less than 3,0 to 25,Less than 3,2 to 5,200 to 300,2017.0,9.0
115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,Medium,4 to 6,26 to 50,Less than 3,Less than 2,200 to 300,2015.0,2.0
115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,High,4 to 6,26 to 50,Less than 3,Less than 2,100 to 200,2019.0,4.0
72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,High,Less than 3,100+,Less than 3,2 to 5,200 to 300,2019.0,7.0
119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,High,Less than 3,0 to 25,Less than 3,Less than 2,200 to 300,2018.0,12.0
119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,Medium,7 to 9,0 to 25,Less than 3,Less than 2,200 to 300,2019.0,6.0
120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,Low,4 to 6,0 to 25,Less than 3,Less than 2,Less than 100,2011.0,10.0
65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,Low,Less than 3,0 to 25,Less than 3,Less than 2,300+,2018.0,5.0
6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,Low,Less than 3,0 to 25,Less than 3,Less than 2,200 to 300,2011.0,9.0
124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,Medium,4 to 6,0 to 25,Less than 3,Less than 2,100 to 200,2017.0,8.0
124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,Low,10+,26 to 50,Less than 3,Less than 2,300+,2017.0,8.0
35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,Low,Less than 3,51 to 75,Less than 3,Less than 2,300+,2019.0,5.0
126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213,Medium,Less than 3,100+,Less than 3,2 to 5,200 to 300,2019.0,6.0
125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209,Medium,4 to 6,51 to 75,Less than 3,Less than 2,200 to 300,2019.0,6.0
120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,Medium,Less than 3,26 to 50,Less than 3,Less than 2,Less than 100,2019.0,6.0
117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,Medium,Less than 3,26 to 50,Less than 3,2 to 5,200 to 300,2019.0,5.0
135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,Medium,10+,26 to 50,Less than 3,Less than 2,Less than 100,2019.0,1.0
137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,Low,Less than 3,0 to 25,Less than 3,Less than 2,100 to 200,2019.0,1.0
116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,Medium,4 to 6,76 to 100,Less than 3,2 to 5,300+,2019.0,1.0
138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,High,10+,0 to 25,Less than 3,Less than 2,Less than 100,2017.0,7.0
139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,Medium,Less than 3,0 to 25,Less than 3,Less than 2,200 to 300,2018.0,11.0
139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,Medium,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2016.0,4.0
140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,Medium,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2011.0,9.0
137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170,Medium,Less than 3,100+,Less than 3,Less than 2,100 to 200,2019.0,6.0
142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,Medium,Less than 3,0 to 25,Less than 3,Less than 2,100 to 200,2019.0,2.0
143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,Medium,Less than 3,26 to 50,Less than 3,Less than 2,200 to 300,2019.0,6.0
149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,Low,7 to 9,26 to 50,Less than 3,2 to 5,200 to 300,2019.0,6.0
120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,Medium,4 to 6,76 to 100,Less than 3,Less than 2,300+,2019.0,6.0
62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,Low,10+,0 to 25,Less than 3,Less than 2,300+,2013.0,10.0
142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1,Medium,Less than 3,100+,Less than 3,Less than 2,Less than 100,2019.0,6.0
137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,Medium,10+,0 to 25,Less than 3,Less than 2,200 to 300,2018.0,8.0
157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,Low,Less than 3,26 to 50,Less than 3,Less than 2,Less than 100,2017.0,5.0
158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,High,10+,100+,Less than 3,Less than 2,300+,2019.0,3.0
159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,Medium,4 to 6,26 to 50,Less than 3,Less than 2,100 to 200,2018.0,12.0
92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,High,4 to 6,100+,Less than 3,Less than 2,200 to 300,2019.0,6.0
165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27,1,230,High,Less than 3,0 to 25,Less than 3,Less than 2,200 to 300,2018.0,12.0
110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,Low,10+,26 to 50,Less than 3,Less than 2,100 to 200,2019.0,12.0
171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,High,Less than 3,0 to 25,Less than 3,Less than 2,100 to 200,2011.0,4.0
174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,High,Less than 3,0 to 25,Less than 3,Less than 2,300+,2016.0,9.0
180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,High,Less than 3,76 to 100,Less than 3,Less than 2,Less than 100,2019.0,6.0
181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,Low,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2015.0,2.0
11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,Medium,Less than 3,100+,Less than 3,2 to 5,300+,2019.0,6.0
185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312,Low,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,6.0
177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,Low,Less than 3,26 to 50,Less than 3,Less than 2,Less than 100,2019.0,6.0
72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,Medium,Less than 3,76 to 100,Less than 3,2 to 5,300+,2019.0,6.0
193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,Medium,Less than 3,100+,Less than 3,Less than 2,Less than 100,2019.0,6.0
193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246,Medium,Less than 3,76 to 100,Less than 3,Less than 2,200 to 300,2019.0,1.0
126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231,Medium,Less than 3,76 to 100,Less than 3,2 to 5,200 to 300,2019.0,5.0
201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,Medium,10+,26 to 50,Less than 3,Less than 2,200 to 300,2016.0,4.0
202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,Low,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2018.0,12.0
204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,5,365,High,7 to 9,0 to 25,Less than 3,2 to 5,300+,2019.0,12.0
867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233,Low,4 to 6,100+,Less than 3,Less than 2,200 to 300,2019.0,5.0
204724,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,Medium,4 to 6,26 to 50,Less than 3,Less than 2,Less than 100,2019.0,8.0
8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,Medium,4 to 6,51 to 75,Less than 3,Less than 2,Less than 100,2019.0,5.0
209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,Low,Less than 3,100+,Less than 3,2 to 5,300+,2019.0,5.0
210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,Medium,Less than 3,51 to 75,Less than 3,2 to 5,200 to 300,2019.0,6.0
214148,Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,Medium,10+,26 to 50,Less than 3,Less than 2,300+,2012.0,3.0
214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,Medium,Less than 3,0 to 25,Less than 3,Less than 2,Less than 100,2015.0,7.0
218404,Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,High,Less than 3,26 to 50,Less than 3,Less than 2,200 to 300,2019.0,6.0
221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,High,Less than 3,100+,Less than 3,Less than 2,200 to 300,2019.0,6.0
